university,user_id,user_name,number_tweets,friends_count,followers_count,created_at
ucatolica_chile,9.76053858123297E+017,M4n3_C1fu3nt35,221,47,5,Tue Mar 20 11:12:28 +0000 2018
ucatolica_chile,1214484307,ElyChocolate45,184,83,45,Sun Feb 24 04:35:06 +0000 2013
ucatolica_chile,1.18710260310625E+018,IgnaciaAnazco,0,6,6,Wed Oct 23 20:25:03 +0000 2019
ucatolica_chile,1.18523059709199E+018,ChileTuti,34,248,3,Fri Oct 18 16:26:20 +0000 2019
ucatolica_chile,1.18612006138955E+018,EdithRiveraSil3,0,46,0,Mon Oct 21 03:21:00 +0000 2019
ucatolica_chile,119591782,_romidm,1143,1016,409,Thu Mar 04 02:52:14 +0000 2010
ucatolica_chile,7.23255338485485E+017,RicardoSergio6s,3654,1203,81,Thu Apr 21 21:01:24 +0000 2016
ucatolica_chile,1.18493742826152E+018,LabmedLtda,52,4530,327,Thu Oct 17 21:01:24 +0000 2019
ucatolica_chile,1.18677411203277E+018,DanielT29105269,1,42,4,Tue Oct 22 22:39:43 +0000 2019
ucatolica_chile,1.18634004515179E+018,Ignacio70961926,0,6,3,Mon Oct 21 17:55:01 +0000 2019
ucatolica_chile,1.14176153475604E+018,Imdarshanaj,5,1536,18,Thu Jun 20 17:35:37 +0000 2019
ucatolica_chile,1.11777518306918E+018,carlos_nyt,136,366,34,Mon Apr 15 13:02:25 +0000 2019
ucatolica_chile,1.18625256353815E+018,Cynthia59921752,5,34,2,Mon Oct 21 12:07:27 +0000 2019
ucatolica_chile,2347408058,matt_gobel,0,938,86,Sun Feb 16 20:34:28 +0000 2014
ucatolica_chile,157112410,RFCharlie,13851,614,208,Fri Jun 18 22:18:16 +0000 2010
ucatolica_chile,1.18540060850695E+018,EichholzAugusta,91,264,59,Sat Oct 19 03:42:34 +0000 2019
ucatolica_chile,2432605746,yvomep,8,86,5,Mon Apr 07 21:28:50 +0000 2014
ucatolica_chile,1.18670191743668E+018,BazaesRodrigo,83,47,6,Tue Oct 22 17:53:20 +0000 2019
ucatolica_chile,356969477,JPMolineiro,6,28,19,Wed Aug 17 16:58:59 +0000 2011
ucatolica_chile,1.14898408241356E+018,LucasBienvenu,89,738,59,Wed Jul 10 15:55:27 +0000 2019
ucatolica_chile,634108925,ColdMoore,24,78,6,Thu Jul 12 22:50:57 +0000 2012
ucatolica_chile,1.18669379346416E+018,kyarenji,45,143,46,Tue Oct 22 17:20:36 +0000 2019
ucatolica_chile,2360215554,mapigonthier,364,211,113,Tue Feb 25 00:22:14 +0000 2014
ucatolica_chile,2729500133,ElQueNoSale,8225,875,207,Thu Jul 31 00:27:40 +0000 2014
ucatolica_chile,8.70281648855757E+017,CENSChile,3382,2074,3620,Thu Jun 01 14:11:28 +0000 2017
ucatolica_chile,575926104,ValeMiranda6,2,15,15,Thu May 10 02:00:30 +0000 2012
ucatolica_chile,1.1866458074974E+018,Catalin61235917,4,2,3,Tue Oct 22 14:09:50 +0000 2019
ucatolica_chile,1.18647162059406E+018,kimTayh,2703,194,129,Tue Oct 22 02:37:45 +0000 2019
ucatolica_chile,1114896126,roanraval,11395,152,129,Wed Jan 23 17:46:39 +0000 2013
ucatolica_chile,23939920,p_desormeaux,2524,1695,1737,Thu Mar 12 12:41:06 +0000 2009
ucatolica_chile,1.18604841160015E+018,JavierTL6,269,926,68,Sun Oct 20 22:36:09 +0000 2019
ucatolica_chile,1.18612010549693E+018,GarridoElke,4,71,2,Mon Oct 21 03:21:00 +0000 2019
ucatolica_chile,90022186,DiegoManzur,26,280,194,Sat Nov 14 21:12:46 +0000 2009
ucatolica_chile,4109060117,sanguinettimati,467,838,302,Wed Nov 04 03:07:35 +0000 2015
ucatolica_chile,1.1863524327098E+018,ye97119383,22,52,2,Mon Oct 21 18:44:06 +0000 2019
ucatolica_chile,1.18567074805833E+018,Sofiairarrazav1,27,205,10,Sat Oct 19 21:35:25 +0000 2019
ucatolica_chile,1.18569806848371E+018,cjrecabarren,6,306,33,Sat Oct 19 23:23:52 +0000 2019
ucatolica_chile,4515723322,federicotrevisi,7,832,42,Thu Dec 17 16:40:36 +0000 2015
ucatolica_chile,1.18630776782655E+018,fggutierrez001,0,10,1,Mon Oct 21 15:46:45 +0000 2019
ucatolica_chile,7.43905775039431E+017,dylan97rodrigu1,712,29,16,Fri Jun 17 20:38:52 +0000 2016
ucatolica_chile,118764158,Felipe_Ivan,13,166,25,Mon Mar 01 17:45:54 +0000 2010
ucatolica_chile,80938615,ufinisterrae,6472,999,15300,Thu Oct 08 20:43:12 +0000 2009
ucatolica_chile,9.69006142876803E+017,TrinidadValle5,0,104,0,Thu Mar 01 00:27:22 +0000 2018
ucatolica_chile,1.1859246257898E+018,DRV12511542,8,34,0,Sun Oct 20 14:24:44 +0000 2019
ucatolica_chile,7.68072192064102E+017,nikibiehl,2,46,6,Tue Aug 23 13:07:35 +0000 2016
ucatolica_chile,1.14663624611197E+018,daynurbv,9,105,0,Thu Jul 04 04:25:59 +0000 2019
ucatolica_chile,1.18607823029973E+018,Aneis64804463,0,7,0,Mon Oct 21 00:34:32 +0000 2019
ucatolica_chile,1.18563857232341E+018,MatiasG24163992,0,67,2,Sat Oct 19 19:27:35 +0000 2019
ucatolica_chile,1.18594994607742E+018,VBornscheuer,6,269,2,Sun Oct 20 16:04:52 +0000 2019
ucatolica_chile,1.18564091878909E+018,NicolVaras2,0,92,1,Sat Oct 19 19:37:07 +0000 2019
ucatolica_chile,1.18560986026576E+018,BrantePaulina,84,134,53,Sat Oct 19 17:33:38 +0000 2019
ucatolica_chile,1716122149,Gab000p,8143,939,89,Sat Aug 31 16:09:51 +0000 2013
ucatolica_chile,1.18573358887412E+018,s_vilaza,31,153,18,Sun Oct 20 01:45:03 +0000 2019
ucatolica_chile,1.18573775525246E+018,jaime50100575,0,35,0,Sun Oct 20 02:01:33 +0000 2019
ucatolica_chile,1115067278,CifuentesLeonor,2000,916,245,Wed Jan 23 19:02:11 +0000 2013
ucatolica_chile,529069949,_ProfeRafa,332,677,622,Mon Mar 19 03:35:19 +0000 2012
ucatolica_chile,3077229040,Nephilim201,21034,488,9,Sat Mar 07 13:09:02 +0000 2015
ucatolica_chile,1.17144532186545E+018,AngelaCrdenas14,1,28,0,Tue Sep 10 15:28:34 +0000 2019
ucatolica_chile,9.80122486619722E+017,Aki73422318,2,9,2,Sat Mar 31 16:39:45 +0000 2018
ucatolica_chile,1.18559507866187E+018,salva_matus,13,62,5,Sat Oct 19 16:35:28 +0000 2019
ucatolica_chile,1280910296,JadeRodrigues19,362,80,90,Tue Mar 19 16:37:11 +0000 2013
ucatolica_chile,195229998,JoWalbaum,6,21,11,Sun Sep 26 04:18:01 +0000 2010
ucatolica_chile,1.18541217732017E+018,RosselotMaria,65,72,5,Sat Oct 19 04:28:10 +0000 2019
ucatolica_chile,612872950,FrancoRojas_,73,21,109,Tue Jun 19 21:20:07 +0000 2012
ucatolica_chile,82009807,claudiadzegarra,772,1116,82,Tue Oct 13 04:21:04 +0000 2009
ucatolica_chile,4345848677,mjfh11,15,143,14,Wed Dec 02 02:07:41 +0000 2015
ucatolica_chile,258352617,Monse_Sofi,3,114,22,Sun Feb 27 14:43:18 +0000 2011
ucatolica_chile,1.18532578069754E+018,liliflies,48,375,11,Fri Oct 18 22:44:33 +0000 2019
ucatolica_chile,521898231,danipazprado,555,328,50,Mon Mar 12 02:56:43 +0000 2012
ucatolica_chile,1223603695,antogehrung,326,184,85,Wed Feb 27 04:15:47 +0000 2013
ucatolica_chile,1.01975267243244E+018,imbigfols,1474,290,79,Thu Jul 19 01:15:58 +0000 2018
ucatolica_chile,1.1717289479079E+018,p0xy_roxy,138,65,14,Wed Sep 11 10:15:36 +0000 2019
ucatolica_chile,1.15517674727458E+018,illbeinthepool,1002,196,28,Sat Jul 27 18:02:53 +0000 2019
ucatolica_chile,1.18526137134211E+018,jesiturell,53,92,31,Fri Oct 18 18:28:39 +0000 2019
ucatolica_chile,579542735,Lab_Wankara,730,718,400,Mon May 14 04:28:56 +0000 2012
ucatolica_chile,9.03326219709669E+017,ftchmcl,1772,310,88,Thu Aug 31 18:38:48 +0000 2017
ucatolica_chile,1.1717749778399E+018,tutoredit,186,827,99,Wed Sep 11 13:18:46 +0000 2019
ucatolica_chile,48366562,ENMARCHA_,1289,986,704,Thu Jun 18 14:32:44 +0000 2009
ucatolica_chile,1236475243,LeriLorena,25,189,45,Sat Mar 02 21:13:40 +0000 2013
ucatolica_chile,352994371,ProChile_NL,1022,573,1802,Thu Aug 11 11:42:10 +0000 2011
ucatolica_chile,1.18423750033793E+018,Culturahoy3,0,13,1,Tue Oct 15 22:40:19 +0000 2019
ucatolica_chile,1.08705821450664E+018,FelipeDS12,20,91,0,Sun Jan 20 18:44:09 +0000 2019
ucatolica_chile,1.18414801478245E+018,2019Cnu,1,4,0,Tue Oct 15 16:44:37 +0000 2019
ucatolica_chile,1.15551091869402E+018,MichaelKriegl,38,501,103,Sun Jul 28 16:10:46 +0000 2019
ucatolica_chile,9.36908309839347E+017,RodrigoPinoche6,20,88,15,Sat Dec 02 10:42:02 +0000 2017
ucatolica_chile,2191392747,rivascueto,3223,1870,93,Fri Nov 22 14:23:09 +0000 2013
ucatolica_chile,3102331274,vdaussier,20,62,27,Sun Mar 22 01:00:24 +0000 2015
ucatolica_chile,1.13064894615256E+018,aa_artemis,1019,501,73,Tue May 21 01:38:09 +0000 2019
ucatolica_chile,2716279979,MiriamSchen,28,52,3,Fri Jul 18 02:49:32 +0000 2014
ucatolica_chile,1.11908777883735E+018,Daniela55046410,222,366,240,Fri Apr 19 03:58:12 +0000 2019
ucatolica_chile,1.18267011655682E+018,LaFra13939863,19,89,9,Fri Oct 11 14:51:57 +0000 2019
ucatolica_chile,363486669,mngarrid,2821,226,206,Sun Aug 28 04:53:47 +0000 2011
ucatolica_chile,1.13568431013097E+018,AudilexM,64,426,16,Mon Jun 03 23:06:54 +0000 2019
ucatolica_chile,8.85340769904718E+017,thalassophileRM,269,2222,345,Thu Jul 13 03:31:03 +0000 2017
ucatolica_chile,7.65200367785243E+017,SMandPPodcast,1661,1406,1535,Mon Aug 15 14:55:59 +0000 2016
ucatolica_chile,1.1808681024872E+018,sando_jsv,43,404,21,Sun Oct 06 15:31:18 +0000 2019
